Itemno,Whse,Bin,Onhand,Oncom,Aano
9-T-4566-C4F,1,A24C1X,2,0,0
9-T-4567,1,A23G1X,5,0,0
9-T-4567-668,1,A24A2X,1,0,0
9-T-4567-A96,1,A23C2X,2,0,0
9-T-4607,1,A23A4X,9,0,0
9-T-4607,1,A23D5X,20,0,0
9-T-4666,1,A23A1X,3,0,0
9-T-4666,1,A23A5X,20,0,0
9-T-4681,X-W,X-STG,1,1,0
9-T-4681,1,A23H1X,4,0,0
9-T-4821,1,A24D1X,6,0,0
9-T-4918,1,A23C4X,10,0,0
9-T-4919,1,A23C4X,10,0,0
9-T-5086,1,A23B5X,3,0,0
9-T-5086,1,A23B1X,7,0,0
9-T-5141,1,A23H4X,3,0,0
9-T-5141,1,A24B6X,6,0,0
9-T-5141,1,A23A6X,11,0,0
9-T-5157,1,A23G1X,6,0,0
9-T-5157-NH547,1,A23E2X,2,0,0
9-T-5209,1,A24F5X,1,0,0
9-T-5209,1,A24C6X,9,0,0
9-T-5224,X-W,X-STG,0,0,0
9-T-5224,1,A24E2X,0,1,0
9-T-5264,X-W,X-STG,1,1,0
9-T-5308,1,A24B4X,5,0,0
9-T-5308-E1U,1,A24E3X,1,0,0
9-T-5308-M6Y,1,A24E2X,1,0,0
9-T-5308-MG2,1,A24F2X,3,0,0
9-T-5308-WCH,1,A24E3X,3,0,0
9-T-5329,X-W,X-STG,0,0,0
9-T-5329,1,A23H4X,0,3,0
9-T-5329,2,07R07C,4,0,0
9-T-5330,X-W,X-STG,1,1,0
9-T-5330,1,A23H4X,3,0,0
9-T-5331,2,07L19C,2,0,0
9-T-5332,1,A24I4X,4,0,0
9-T-5333,1,A23H4X,3,0,0
9-T-5364,1,A24H3X,2,0,0
9-T-5390,1,A23B2X,7,0,0
9-T-5393,1,A23C2X,5,0,0
9-T-5406,1,A24C3X,7,1,0
9-T-5429,1,A23C1X,2,0,0
9-T-5429-PPSW,1,A24F2X,1,0,0
9-T-5443,X-W,X-STG,0,0,0
9-T-5443,X-W,X-PJ8766,1,0,0
9-T-5443,1,A24H4X,0,1,0
9-T-5443-P8Y,1,A23A1X,1,0,0
9-T-5519,1,A24F4X,2,0,0
9-T-5585,1,A24C5X,3,0,0
9-T-5585,1,A24C4X,4,0,0
9-T-5585,1,A24K5X,12,0,0
9-T-5735,1,A23B1X,10,0,0
9-T-5830,1,A24H4X,9,0,0
9-T-5830,1,A23F5X,10,0,0
9-T-6048,1,A24F2X,1,0,0
9-T-6500,X-W,X-STG,0,0,0
9-T-6500,1,A24I4X,4,0,0
9-T-6500,1,A24H6X,15,0,0
9-T-6500,1,A24C6X,15,0,0
9-T-6501,X-W,X-STG,0,0,0
9-T-6501,X-W,X-PJ20046,1,0,0
9-T-6501,1,A23G4X,1,3,0
9-T-6501,1,A24H6X,1,0,0
9-T-6502,X-W,X-STG,0,0,0
9-T-6502,1,A24H4X,9,1,0
9-T-6502,1,A24H5X,10,0,0
9-T-6560,X-W,X-STG,1,1,0
9-T-6842,1,A24B3X,8,0,0
9-T-6842,1,A24B5X,10,0,0
9-T-6846,1,A24H4X,7,0,0
9-T-6846,1,A23J5X,10,0,0
9-T-6849,1,A24D3X,1,0,0
9-T-6852,1,A24C4X,9,0,0
9-T-6854,1,A24B4X,9,0,0
9-T-6912,1,A24H4X,10,0,0
9-T-6912,1,A23J5X,10,0,0
9-T-7008,1,A24H4X,9,0,0
9-T-7008,1,A23J5X,10,0,0
9-VRS-00080,X-W,X-STG,0,0,0
9-VRS-00080,X-W,X-PJ8756,1,0,0
9-VRS-00080,1,A24C4X,9,0,0
9-VRS-00090,X-W,X-STG,1,1,0
9-VRS-00090,1,A24C4X,13,1,0
9-VRS-00111,X-W,X-STG,0,0,0
9-VRS-00111,1,A24C4X,4,0,0
9-VRS-00118,X-W,X-STG,0,0,0
9-VRS-00118,1,A24E1X,0,0,0
9-VRS-00118,2,06R01B,0,0,0
9-VRS-00165,1,A24C4X,3,0,0
9-VRS-00168,1,A24C3X,3,0,0
9-WN-0044,1,A23B2X,23,0,0
9-WN-0044,1,A24D5X,60,0,0
9-WN-0161,1,A24H2X,23,1,0
9-WN-0179,X-W,X-STG,2,2,0
9-WN-0180,X-W,X-STG,3,3,30067436
9-WN-0180,1,A23D1X,0,4,0
A35F1X,1,A35F1X,1,0,0
ABS211A,1,A14N5X,1,0,0
ABS252A-G41,1,A12E4X,1,0,0
ABS275A-KH3,1,A10K4X,1,0,0
ABS73A-L4,1,A12E4X,1,0,0
ACC-ABF-1,1,FBA01,100,0,0
ACC-BAG-2,1,AONF21,196,0,0
ACC-BAG-3,1,AONF21,4800,0,0
ACC-BAG-43-6,1,X-CRT-RM,246,0,0
ACC-GLOVE-1,1,AONF01,1000,0,0
ACC-GLOVE-2,1,X-CRT-NI,200,0,0
ACC-GLOVE-3,1,X-CRT-NI,200,0,0
ACC-LB-2IN1-4880,1,X-CRT-JE,20,0,0
ACC-LB-2IN1-4880,2,07R17B,42,0,0
ACC-LB-2IN1V2-4880,1,X-CRT-JE,40,0,0
ACC-LB-2IN1V3-4880,1,X-CRT-JE,100,0,0
ACC-MACH-1,1,X-CRT-FE,1,0,0
ACC-PAINT-ACC-1,1,X-CRT-NI,8,0,0
ACC-PAINT-ACC-2,1,X-CRT-NI,8,0,0
ACC-PAINT-ACC-3,1,X-CRT-NI,24,0,0
ACC-PAINT-ACC-4,1,X-CRT-NI,24,0,0
ACC-PAINT-C-1,1,X-CRT-NI,24,0,0
ACC-PAINT-C-2,1,X-CRT-NI,24,0,0
ACC-PAINT-C-3,1,X-CRT-NI,8,0,0
ACC-PAINT-H-1,1,X-CRT-NI,48,0,0
ACC-PAINT-H-2,1,X-CRT-NI,60,0,0
ACC-PAINT-H-3,1,X-CRT-E,12,0,0
ACC-PAINT-H-4,1,X-CRT-NI,24,0,0
ACC-PAINT-PR-1,1,X-CRT-NI,24,0,0
ACC-PAINT-PR-2,1,X-CRT-NI,8,0,0
ACC-PPAD-1,1,AONF01,3,0,0
ACC-PPAD-2,1,AONF01,3,0,0
ACC-PPAD-3,1,AONF01,9,0,0
ACC-SANDPAPER-1,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-2,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-3,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-4,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-5,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-6,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-7,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-8,1,X-CRT-NI,4000,0,0
ACC-SANDPAPER-9,1,X-CRT-NI,4000,0,0
ACC-SPRAYSET-1,1,AONF01,3,0,0
ACC-SPRAYSET-2,1,AONF01,3,0,0
ACC-SPRAYSET-ADAP-1,1,AONF01,2,0,0
ACC-TAPE-1,2,250B,360,0,0
ACC-TAPE-1,1,AONF21,1680,0,0
ACC-TAPE-2,1,X-CRT-NI,648,0,0
ACC-TAPE-3,1,X-CRT-NI,324,0,0
ACC-TAPEGUN-1,2,250B,50,0,0
ACC-TAPEGUN-1,1,AONF21,50,0,0
ACC-WD-BAG-I,1,X-CRT-RM,10,0,0
ACC-WD-BAG-O,1,X-CRT-RM,3,0,0
ADB-CHSL03SS,X-W,X-STG,0,0,0
ADB-CHSL03SS,1,A34O3X,8,0,0
ADB-CHSL03SS,1,A34A2X,24,0,0
ADB-FDFO-PRST,X-W,X-STG,2,2,0
ADB-HDCV922JS,X-W,X-STG,1,1,0
ADB-HDCV922JS,1,A35H2X,41,3,0
ADB-HDCV99JS,X-W,X-STG,0,0,0
ADB-HDCV99JS,1,A35G2X,13,0,0
ADE-HDPL92HRO,X-W,X-STG,1,1,0
ADE-HDPL92HRO,1,A35G2X,30,2,0
AF-5010B-RD,1,A12G4X,6,0,0
AFS-GM001-BK,1,A12L4X,1,0,0
AFS-GM001-BK-B,1,A11K5X,3,0,0
AFS-GM001-BK-B,1,A11K4X,4,0,0
AFS-GM001-BK-B,1,A12L5X,7,0,0
AFS-GM001-BK-B,1,A12M6X,8,0,0
AL-A496CF,1,A12E2X,27,0,0
APC-TPMS,1,A12L2X,32,0,0
AS-GT57-ABS-BK,X-W,X-STG,1,1,0
AS-GT57-ABS-BK,1,A06H2X,7,0,0
AS-GT57-ABS-BK,1,A06H4X,16,0,0
AS-GT57-ABS-BK,1,A06F3X,20,0,0
AS-GT57-ABS-BK,2,07L13C,18,0,0
AS-GT57-ABS-CFL,X-W,X-STG,3,3,0
AS-GT57-ABS-CFL,1,A06H1X,3,0,0
AS-GT57-ABS-CFL,1,A16G3X,5,0,0
AS-GT57-ABS-CFL,1,A06F3X,10,0,0
AS-GT57-ABS-CFL,2,07L12B,14,0,0
AS-GT57-ABS-GBK,X-W,X-STG,13,11,0
AS-GT57-ABS-GBK,1,A06H2X,2,1,0
AS-GT57-ABS-GBK,1,A06E3X,4,0,0
AS-GT57-ABS-GBK,1,A06H3X,10,0,0
AS-GT57-ABS-GBK,1,A06H4X,20,0,0
AS-GT57-ABS-GBK,1,A06E4X,40,0,0
AS-GT57-ABS-GBK,2,06R14C,23,0,0
AS-GT57LED-ABS-BK,X-W,X-STG,0,0,0
AS-GT57LED-ABS-BK,1,A09G1X,5,0,0
AS-GT57LED-ABS-BK,2,07L14C,19,0,0
AS-GT57LED-ABS-CFL,X-W,X-STG,2,2,0
AS-GT57LED-ABS-CFL,1,A06E1X,1,0,0
AS-GT57LED-ABS-CFL,2,06L16A,18,0,0
AS-GT57LED-ABS-GBK,X-W,X-STG,4,4,0
AS-GT57LED-ABS-GBK,1,A09H6X,1,0,0
AS-GT57LED-ABS-GBK,1,A09G4X,4,0,0
AS-GT57LED-ABS-GBK,2,07L15C,38,0,0
AS-RS61GT,1,A16C2X,1,0,0
AS-TLS35F1LED-PU,1,A09H3X,20,0,0
ASC-RS57Z,2,07R17C,20,0,0
ASR-0500437Q,1,A10B4X,2,0,0
ASR-0500543Q,X-W,X-STG,0,0,0
ASR-0500543Q,1,A10I2X,6,0,0
ASR-0500543Q,2,06L02A,2,0,0
ASR-0501279Q,X-W,X-PJ8498,1,0,0
ASR-0501279Q,X-W,X-PJ8747,1,0,0
ASR-0501279Q,X-W,X-STG,1,1,0
ASR-0501279Q,1,A23I3X,9,0,0
ASR-0501279Q,2,06R07A,4,0,0
ASR-0502548Q,2,06L04A,8,0,0
ASR-0502548Q,2,06L05B,9,0,0
ASR-0502548Q,2,06L03A,13,0,0
ASR-0503586Q,2,06L03A,3,0,0
ASR-ATSX09IK-GBK,X-W,X-STG,0,0,0
ASR-ATSX09IK-GBK,1,A09H5X,2,0,0
ASR-ATSX09IK-GBK,1,A09H3X,2,2,0
ASR-BE362A-MB,1,A09I3X,4,0,0
ASR-BE364A-A,X-W,X-PJ20050,1,0,0
ASR-BE364A-A,X-W,X-PJ8647,1,0,0
ASR-BE364A-A,1,A10A3X,5,0,0
ASR-BE364A-A,2,06L05B,20,0,0
ASR-BE364A-MB,1,A10E3X,8,0,0
ASR-BE39AC-MB,X-W,X-STG,0,0,0
ASR-BE39AC-MB,2,06R02B,4,0,0
ASR-BE462A-MB,X-W,X-PJ8513,1,0,0
ASR-BE462A-MB,1,A10C2X,12,0,0
ASR-BE464-A,X-W,X-PJ8571,1,0,0
ASR-BE464-A,X-W,X-STG,1,1,0
ASR-BE464-A,1,A09A2X,6,0,0
ASR-BE464-A,1,A09B5X,30,0,0
ASR-BE464-A,2,07R10B,7,0,0
ASR-BE464-A,2,06L01B,9,0,0
ASR-BE464A-MB,1,A09I2X,0,0,0
ASR-BE60AC-MB,1,A10A2X,1,0,0
ASR-BE65AC-A,1,A10I5X,10,0,0
ASR-BE65AC-A,1,A09J2X,10,0,0
ASR-BE65AC-A,2,06L03A,10,0,0
ASR-BE65AC-MB,X-W,X-STG,0,0,0
ASR-BE65AC-MB,1,A09F3X,4,0,0
ASR-BE70IK-GBK,X-W,X-STG,0,0,0
ASR-BE70IK-GBK,1,A09D3X,0,2,0
ASR-BE90AC-A,X-W,X-STG,1,1,0
ASR-BE90AC-A,1,A09G2X,8,0,0
ASR-BE90AC-A,1,A16A3X,28,0,0
ASR-BE90AC-A,2,06L06B,40,0,0
ASR-BE90AC2-A,1,A09A2X,4,0,0
ASR-BE90AC2-CFL,1,A10E5X,4,0,0
ASR-BE90AC2-CFL,1,A10E4X,6,0,0
ASR-BE90AC2-GBK,1,A10I3X,3,0,0
ASR-BE90AC2-GBK,1,A10H5X,4,0,0
ASR-BE92AC-MB,1,A09H2X,13,0,0
ASR-BE92AC-MB,2,06L02B,4,0,0
ASR-BF10,X-W,X-STG,3,3,0
ASR-BF10,1,A21G1X,3,0,0
ASR-BF15MP-A,1,A09H3X,13,0,0
ASR-BF15MP-GBK,X-W,X-STG,0,0,0
ASR-BF15MP-GBK,1,A09C2X,4,1,0
ASR-BF15MP-GBK,1,A09B5X,12,0,0
ASR-BF30A-668,1,A10F3X,10,0,0
ASR-BF30A-A,X-W,X-STG,2,2,0
ASR-BF30A-A,2,06L01A,9,0,0
ASR-BF30A-MB,1,A10A4X,8,0,0
ASR-BF30AC-CF,2,07R12A,2,0,0
ASR-BG05HM-CFL,2,07L02B,1,0,97954030
ASR-BG05HM-CFL,2,06R04A,2,0,2372048
ASR-BG05HM-CFL,2,07L04D,7,0,103152965
ASR-BG05HM-GBK,X-W,X-PJ8663,1,0,0
ASR-BG05HM-GBK,X-W,X-STG,4,3,0
ASR-BG05HM-GBK,1,A10G4X,3,0,0
ASR-BG05HM-GBK,1,A10J6X,18,0,0
ASR-BG05HM-GBK,2,06L34B,7,0,0
ASR-BG20IK-PP,X-W,X-STG,0,0,0
ASR-BG20IK-PP,1,A10A1X,4,0,0
ASR-BG26D-A,1,A23I2X,10,0,0
ASR-BG26D-A,1,A23K5X,20,0,0
ASR-C30011-CFL,1,A10C5X,2,0,0
ASR-C30011-CFL,1,A10C4X,8,1,0
ASR-C30011-GBK,X-W,X-STG,0,0,0
ASR-C30011-GBK,1,A09E5X,5,0,0
ASR-C30011-GBK,1,A10D2X,7,1,0
ASR-C30011-MBK,X-W,X-STG,1,1,0
ASR-C30011-MBK,1,A10B3X,7,0,0
ASR-C30011IK-GBK,X-W,X-STG,0,0,0
ASR-C30011IK-GBK,1,A09M2X,13,2,0
ASR-CC10IK2-A,1,A10L4X,8,0,0
ASR-CC10IK2-CFL,1,A10H1X,8,0,0
ASR-CC10IK2-CFL,2,07L15A,10,0,0
ASR-CC10IK2-GBK,X-W,X-STG,0,0,0
ASR-CC10IK2-GBK,1,A09H2X,10,0,0
ASR-CC10IK2-GBK,2,07L15A,8,0,0
ASR-DC11IK-PP,1,A09H1X,17,0,0
ASR-DC11IK-PP,2,06L32B,5,0,0
ASR-DCHALL08IK-PP,X-W,X-STG,1,1,0
ASR-DCHALL08IK-PP,X-W,X-PJ8927,1,0,0
ASR-DCHALL08IK-PP,1,A10F1X,20,1,0
ASR-DCHALL08IK-PP,2,06L32B,3,0,0
ASR-DCHALL08IK2-CFL,1,A10H4X,3,0,0
ASR-DCHALL08IK2-CFL,2,06L25B,5,0,0
ASR-DCHALL08IK2-GBK,1,A10H1X,4,2,0
ASR-DCHALL08IK2-GBK,2,07L15A,2,0,0
ASR-DCHALL08IK2-GBK,2,06L25B,5,0,0
ASR-DCHALL08IK2-PP,1,A09F4X,1,2,0
ASR-DCHALL08IK2-PP,1,A10H5X,5,0,0
ASR-DDUR11IK-A,X-W,X-STG,0,0,0
ASR-DDUR11IK-A,2,250B,10,0,0
ASR-DDUR11IK-A,1,A09M2X,9,20,98062154
ASR-DDUR11IK-A,2,07L05B,7,0,0
ASR-DDUR11IK-CFL,X-W,X-STG,0,0,0
ASR-DDUR11IK-CFL,1,A16I1X,10,0,0
ASR-DDUR11IK-CFL,2,07R09C,3,0,11831435
ASR-DDUR11IK-CFL,2,07L05B,10,0,0
ASR-DDUR11IK-GBK,X-W,X-STG,2,1,41568529
ASR-DDUR11IK-GBK,1,A06L2X,2,15,16705873
ASR-DDUR11IK-GBK,1,A06G4X,9,0,6579355
ASR-DDUR11IK-GBK,2,06R24B,0,0,101629371
ASR-DDUR11IK-GBK,2,06R24C,0,0,25706085
ASR-FF12OE-A,X-W,X-STG,0,0,0
ASR-FF12OE-A,X-W,X-PJ8754,1,0,0
ASR-FF12OE-A,X-W,X-PJ8824,1,0,0
ASR-FF12OE-A,X-W,X-PJ8814,1,0,0
ASR-FF12OE-A,X-W,X-PJ8728,1,0,0
ASR-FF12OE-A,X-W,X-PJ8618,1,0,0
ASR-FF12OE-A,X-W,X-PJ8865,1,0,0
ASR-FF12OE-A,X-W,X-PJ8609,1,0,0
ASR-FF12OE-A,X-W,X-PJ8677,1,0,0
ASR-FF12OE-A,1,A06E1X,2,2,0
ASR-FF15015IK-A,1,A16F3X,4,0,0
ASR-FF15015IK-A,1,A16G2X,6,0,0
ASR-FF15015IK-CFL,1,A16H3X,4,0,0
ASR-FF15015IK-CFL,1,A16F2X,6,0,0
ASR-FF15015IK-GBK,X-W,X-STG,1,1,0
ASR-FF15015IK-GBK,1,A16K2X,3,0,0
ASR-FF15015IK-GBK,1,A16K3X,14,0,0
ASR-FFOC12RS-A,X-W,X-PJ8977,1,0,0
ASR-FFOC12RS-A,X-W,X-PJ8754,1,0,0
ASR-FFOC12RS-A,X-W,X-PJ9049,1,0,0
ASR-FFOC12RS-A,X-W,X-PJ9099,1,0,0
ASR-FFOC12RS-A,X-W,X-PJ8911,1,0,0
ASR-FFOC12RS-A,X-W,X-STG,5,5,0
ASR-FFOC12RS-A,1,A10H4X,2,0,0
ASR-FFOC12RS-A,1,A21B7X,30,0,0
ASR-FFOC12RS-A,2,07R16A,14,0,0
ASR-FFOC12RS-G1,1,A09E2X,1,0,0
ASR-FFOC12RS-L6,1,A09L2X,2,0,0
ASR-FFOC12RS-U6,1,A09D3X,1,1,0
ASR-FFSTA125ST-A,X-W,X-PJ8944,1,0,0
ASR-FFSTA125ST-A,X-W,X-PJ8555,1,0,0
ASR-FFSTA125ST-A,X-W,X-PJ8894,1,0,0
ASR-FFSTA125ST-A,X-W,X-PJ8581,1,0,0
ASR-FFSTA125ST-UH,1,A24I4X,2,0,0
ASR-FM05DS-A,X-W,X-STG,1,1,0
ASR-FM05DS-A,X-W,X-PJ8932,1,0,0
ASR-FM05DS-A,X-W,X-PJ8500,1,0,0
ASR-FM05DS-A,1,A10B3X,4,0,0
ASR-FM05DS-A,2,06L10B,3,0,0
ASR-FM05IK-CFL,X-W,X-STG,0,0,0
ASR-FM05IK-CFL,1,A09B1X,1,1,83097787
ASR-FM05IK-CFL,2,06L32B,5,0,0
ASR-FM05IK-GBK,X-W,X-STG,1,1,0
ASR-FM05IK-GBK,1,A09H1X,8,2,0
ASR-FM05IK-GBK,1,A09H5X,10,0,0
ASR-FM05IK-GBK,2,06L15B,3,0,0
ASR-FM05IK-GBK,2,07L02A,5,0,0
ASR-FM05IK-PP,X-W,X-STG,0,0,0
ASR-FM05IK-PP,1,A10C2X,10,0,0
ASR-FM05IK-PP,1,A10C5X,10,0,0
ASR-FM05IK-PP,2,07L02A,9,0,0
ASR-FM15IK2-A,1,A10D3X,3,0,0
ASR-FM15IK2-A,1,A10D5X,4,0,0
ASR-FM15IK2-CFL,X-W,X-STG,0,0,0
ASR-FM15IK2-CFL,1,A10K2X,7,0,0
ASR-FM15IK2-CFL,2,07L15A,9,0,0
ASR-FM15IK2-GBK,X-W,X-STG,0,0,0
ASR-FM15IK2-GBK,1,A10K3X,6,0,0
ASR-FM15IK2-GBK,2,06L28B,11,0,0
ASR-FM24OE-A,1,A06J1X,7,0,0
ASR-FM24OE-GBK,X-W,X-STG,0,0,0
ASR-FM24OE-GBK,1,A10G4X,4,0,0
ASR-FM24OE-GBK,1,A10H6X,14,0,0
ASR-FME21IK-A,1,A06H3X,1,0,0
ASR-FME21IK-A,1,A06I2X,8,0,0
ASR-FME21IK-CFL,1,A09J4X,3,0,0
ASR-FME21IK-CFL,1,A09J5X,10,0,0
ASR-FME21IKV2-A,1,A10E3X,5,0,0
ASR-FME21IKV2-CFL,1,A09G1X,6,0,0
ASR-FME21IKV2-GBK,X-W,X-STG,1,1,0
ASR-FME21IKV2-GBK,1,A09I2X,1,0,0
ASR-HA184IK-A,X-W,X-STG,0,0,0
ASR-HA184IK-A,1,A10G5X,3,0,0
ASR-HA184IK-A,1,A10G2X,4,0,0
ASR-HA184IK-BKR,X-W,X-STG,1,1,0
ASR-HA184IK-BKR,1,A09L3X,3,3,0
ASR-HA184IK-BKR,2,06R14A,6,0,0
ASR-HA184IK-CFL,X-W,X-STG,0,0,0
ASR-HA184IK-CFL,1,A10A3X,0,0,0
ASR-HA184IK-CFL,2,06L24A,3,0,0
ASR-HA184IK-GBK,X-W,X-STG,1,1,0
ASR-HA184IK-GBK,1,A09L5X,5,0,0
ASR-HA184IK-GBK,1,A09K2X,8,0,0
ASR-HA184V-A,X-W,X-PJ8980,1,0,0
ASR-HA184V-A,1,A10B1X,18,0,0
ASR-HA184V-A,1,A10D5X,25,0,0
ASR-HA184V-NH731P,1,A09H4X,7,0,0
ASR-HA184V-NH797M,1,A10E3X,8,0,0
ASR-HA184V-NH830M,X-W,X-STG,1,0,0
ASR-HA184V-NH830M,1,A09H1X,2,0,0
ASR-HA234IK-A,1,A09F3X,2,0,0
ASR-HA234IK-A,2,06R25A,3,0,0
ASR-HA234IK-CFL,2,250B,5,0,0
ASR-HA234IK-CFL,1,A10I4X,8,0,0
ASR-HA234IK-GBK,X-W,X-STG,1,1,0
ASR-HA234IK-GBK,1,A09H4X,3,3,0
ASR-HA234IK-GBK,2,06L23A,4,0,0
ASR-HA234IKV2-A,X-W,X-STG,0,0,0
ASR-HA234IKV2-A,1,A09C2X,3,0,0
ASR-HA234IKV2-CFL,1,A10A4X,5,0,0
ASR-HA234IKV2-GBK,1,A09H4X,8,0,0
ASR-HA234IKV2-GBK,2,07L11B,3,1,0
ASR-HC064A-A,X-W,X-PJ8575,1,0,0
ASR-HC064A-A,X-W,X-PJ8809,1,0,0
ASR-HC064A-A,X-W,X-PJ8839,1,0,0
ASR-HC064A-A,X-W,X-STG,3,3,0
ASR-HC064A-A,1,A10J4X,8,2,0
ASR-HC064A-NH578,1,A10C1X,3,0,0
ASR-HC064JDM-A,X-W,X-STG,1,1,0
ASR-HC064JDM-A,1,A10A3X,3,0,0
ASR-HC064JDM-A,1,A10A5X,4,0,0
ASR-HC064JDM-CFL,1,A10H2X,6,0,0
ASR-HC064JDM-CFL,1,A10I5X,9,0,0
ASR-HC064JDM-GBK,X-W,X-STG,0,0,0
ASR-HC064JDM-GBK,1,A10G2X,2,0,0
ASR-HC064JDM-GBK,1,A10I6X,14,0,0
ASR-HC064V-A,1,A09H1X,10,0,0
ASR-HC064V-CFL,1,A10A4X,5,0,0
ASR-HC064V-GBK,X-W,X-STG,0,0,0
ASR-HC064V-GBK,1,A09B5X,4,0,0
ASR-HC064V-GBK,1,A09A4X,5,0,0
ASR-HC124IK2-A,X-W,X-STG,1,1,0
ASR-HC124IK2-A,X-W,X-PJ8865,1,0,0
ASR-HC124IK2-A,1,A09I1X,18,1,0
ASR-HC164-C,X-W,X-STG,0,0,0
ASR-HC164-C,1,A16J2X,6,0,0
ASR-HC164IK-A,X-W,X-PJ20084,1,0,0
ASR-HC164IK-A,X-W,X-PJ9062,1,0,0
ASR-HC164IK-A,X-W,X-STG,3,2,115925719
ASR-HC164IK-A,1,A23B4X,5,0,0
ASR-HC164IK-A,1,A23B5X,10,0,0
ASR-HC164IK-B593M,1,A09I2X,4,0,0
ASR-HC164IK-B593M,1,A10B5X,10,0,0
ASR-HC164IK-B607M,X-W,X-STG,1,1,0
ASR-HC164IK-B607M,1,A10K4X,2,0,0
ASR-HC164IK-CF,1,A09E5X,8,0,0
ASR-HC164IK-CF,1,A10C3X,8,0,0
ASR-HC164IK-NH578,1,A10K4X,2,0,0
ASR-HC164IK-NH731P,1,A10G3X,2,0,0
ASR-HC164IK-NH788P,1,A24E2X,0,1,0
ASR-HC164IK-NH797M,1,A09B3X,5,0,0
ASR-HC164IK-R513,X-W,X-STG,0,0,0
ASR-HC164IK-R513,1,A09B2X,7,0,0
ASR-HC164IK-R560P,1,A09I2X,4,0,0
ASR-HC164IK-R560P,1,A10I5X,10,0,0
ASR-HC164J-A,1,A10K5X,4,0,0
ASR-HC164J-A,1,A10K2X,4,0,0
ASR-HC164J-CFL,X-W,X-STG,0,0,0
ASR-HC164J-CFL,1,A09I1X,4,0,0
ASR-HC164J-GBK,X-W,X-STG,0,0,0
ASR-HC164J-GBK,1,A10K2X,3,1,0
ASR-HC164J-GBK,1,A10K5X,9,0,0
ASR-HC164TR-A,X-W,X-STG,0,0,0
ASR-HC164TR-A,X-W,X-PJ8696,1,0,0
ASR-HC164TR-A,1,A10C1X,3,0,0
ASR-HC164TR-A,1,A10C6X,25,0,0
ASR-HC164TR-A,2,07R07B,3,0,0
ASR-HC164TR-A,2,06R31B,10,0,0
ASR-HC164V-CF,1,A24A2X,5,0,0
ASR-HC164V-CF,1,A24B6X,9,0,0
ASR-HC224IK-A,1,A10H2X,1,2,0
ASR-HC224IK-CF,X-W,X-STG,1,1,0
ASR-HC224IK-CF,1,A09J5X,3,0,0
ASR-HC224IK-CF,1,A09J4X,4,0,0
ASR-HC224IK-CFL,X-W,X-STG,1,1,0
ASR-HC224IK-CFL,1,A10I2X,3,0,0
ASR-HC224IK-CFL,2,06L22B,4,1,0
ASR-HC224IK-GBK,X-W,X-STG,0,0,0
ASR-HC224IK-GBK,2,250B,10,0,0
ASR-HC224IK-GBK,1,A10C3X,0,0,0
ASR-HC224IK-GBK,2,06R07A,2,0,0
ASR-HC224TR-A,X-W,X-PJ8779,1,0,114519707
ASR-HC224TR-A,X-W,X-PJ8497,1,0,66666566
ASR-HC224TR-A,X-W,X-STG,3,0,121956313
ASR-HC224TR-A,1,A06H1X,3,3,92141877
ASR-HC224TR-A,1,A06E4X,8,0,49277730
ASR-HC224TR-A,2,06L15A,3,1,109971694
ASR-HC224TR-A,2,06L25B,14,0,38326043
ASR-HC224TR-CFL,1,A09B5X,2,0,0
ASR-HC224TR-CFL,1,A09B4X,5,1,0
ASR-HC224TR-GBK,X-W,X-STG,1,0,0
ASR-HC224TR-GBK,2,250B,5,0,0
ASR-HC224TR-GBK,1,A06H1X,0,0,0
ASR-HC224V-A,X-W,X-PJ8858,1,0,0
ASR-HC224V-A,X-W,X-STG,1,0,0
ASR-HC224V-A,X-W,X-PJ8608,1,0,0
ASR-HC224V-A,1,A10B1X,13,0,0
ASR-HC224V-B575P,1,A10B2X,1,0,0
ASR-HC224V-B593M,1,A14M3X,4,1,0
ASR-HC224V-NH797M,1,A10D3X,10,0,0
ASR-HC224V-NH830M,1,A10L1X,9,0,0
ASR-HC224V-NH883P,1,A10H2X,4,1,0
ASR-HC225IK-A,X-W,X-PJ8816,1,0,0
ASR-HC225IK-A,1,A09L2X,7,3,0
ASR-HC225IK-A,1,A10L6X,21,0,0
ASR-HC225IK-A,2,07R22A,4,0,0
ASR-HC225IK-CFL,X-W,X-STG,1,1,0
ASR-HC225IK-CFL,1,A09F5X,2,0,0
ASR-HC225IK-CFL,1,A10J1X,3,1,0
ASR-HC225IK-CFL,1,A06D3X,10,0,0
ASR-HC225IK-CFL,2,07L22A,5,0,0
ASR-HC225IK-GBK,1,A10C3X,1,0,0
ASR-HC225IK-GBK,2,07L15C,2,0,0
ASR-HC923BYS,X-W,X-STG,0,0,0
ASR-HC923BYS,1,A06I1X,4,0,0
ASR-HC923BYS,2,07L11A,2,1,0
ASR-HC923BYS-BG28P,1,A10I1X,2,0,0
