Itemno,Whse,Bin,Onhand,Oncom,Aano
02FFP-DORAM09,2,12L26B,1,0,44172506
02FFP-DORAM10H,X-W,X-STG,0,0,0
02FFP-DORAM10H,1,A35Q2X,0,0,0
02FFP-DORAM10H,2,12L19B,2,0,2372048
02FFP-FOF1509,X-W,X-STG,0,0,0
02FFP-FOF1509,1,A35Q2X,2,0,0
02FFP-FOF1509,1,A35P3X,5,0,0
02FFP-FOF1515,X-W,X-STG,0,0,0
02FFP-FOF1515,2,08L09B,10,0,0
02FFP-FOF1515,2,08L17B,13,0,0
02FFP-FOF1521-BS3,X-W,X-STG,0,0,0
02FFP-FOF1521-BS3,2,12L18A,4,0,0
02FFP-FOF1521-BS3,2,12L18B,12,0,0
02FFP-RARAM1519,2,12L25B,0,2,97259462
03-CHSUB07-SM,1,A1322X,13,0,0
03-CS9401TLAG4SM,1,MR09A1,1,0,0
08-030-S-C-3L,1,A1322X,25,0,0
1-CAC-TSL3Y20-BK,X-W,X-STG,1,1,0
1-CAC-TSL3Y20-BK,1,A12H1X,12,0,0
1-CAC-TSL3Y20-BK,1,A12D5X,48,0,0
1-CAC-TSL3Y20-WH,X-W,X-STG,0,0,0
1-CAC-TSL3Y20-WH,1,A12C1X,2,0,0
1-CAC-TSL3Y20-WH,1,A19K4X,48,0,0
1-CSC-TSL317-CFL,X-W,X-STG,0,0,0
1-CSC-TSL317-CFL,1,A11I2X,13,1,0
1-CSC-TSL317-MCFL,1,A12D3X,9,0,0
1-CSC-TSL317-WH,X-W,X-STG,0,0,0
1-CSC-TSL317-WH,1,A11B1X,18,0,0
1-CSC-TSL3Y21-CFL,X-W,X-STG,0,0,0
1-CSC-TSL3Y21-CFL,1,A11E1X,17,1,0
1-CSC-TSL3Y21-MCFL,X-W,X-STG,0,0,0
1-CSC-TSL3Y21-MCFL,1,A11G1X,9,1,0
1-CSC-TSL3Y21-WH,X-W,X-STG,0,0,0
1-CSC-TSL3Y21-WH,1,A11D1X,76,0,0
1-CSS-TSL3Y20-CFL,X-W,X-STG,0,0,0
1-CSS-TSL3Y20-CFL,1,A13J2X,7,0,0
1-CSS-TSL3Y20-CFL,1,A13E5X,10,0,0
1-CSS-TSL3Y20-CFL,1,A24J5X,30,0,0
1-CSS-TSL3Y20-MCFL,1,A13G1X,9,0,0
1-CSS-TSL3Y20-MCFL,1,A24J5X,10,0,0
1-DF-TSL3Y20-CFL,1,A11C1X,10,0,0
1-DF-TSL3Y20-MCFL,X-W,X-STG,2,2,0
1-DF-TSL3Y20-MCFL,1,A11C1X,36,0,0
1-DF-TSL3Y20-WH,X-W,X-STG,1,1,0
1-DF-TSL3Y20-WH,1,A11C1X,27,0,0
